NG Num,     2,Result Comment: , 1 = Pass (Green --> Under +/- Threshold of Target or Compared with Golden Sample)
Node NG,    0,                , 0 = Fail (Purple --> Less than Target Voltage)
Line NG,    2,                , 4 = Fail (Red --> More than Target Voltage)
                            ,,, 7 = Fail (Blue --> More or Less than  +/- Threshold of Compared with Golden Sample)
            ,,Fail Parameter: , A = Voltage vs Target
                            ,,, B = Voltage vs Golden Sample
                            ,,, C = Calibration vs Golden Sample
Title,SiS AutoTool_0519A_1+1_150615
ITO,Default
Golden Sample, None

Node Constraints
Target Voltage Threshold (%),Post,12,2.90V,Neg,12,2.28V
Line Constraints
Threshold (%),Calib Time,-25,20
Out of Spec Node (%),Tx,50,Rx,50

X Inverse,0,Y Inverse,0,
XY Exchange
Channel Info,

Data Type,1
region_x_num_per_chip,,Master,6,
region_y_num_per_chip,,Master,5,

Width,58,
Height,48,
Button,0,,,

Table1:,CalibLoopcnt
 Y\X,            X1,            X2,            X3,            X4,            X5,            X6,            X7,            X8,            X9,           X10,           X11,           X12,           X13,           X14,           X15,           X16,           X17,           X18,           X19,           X20,           X21,           X22,           X23,           X24,           X25,           X26,           X27,           X28,           X29,           X30,           X31,           X32,           X33,           X34,           X35,           X36,           X37,           X38,           X39,           X40,           X41,           X42,           X43,           X44,           X45,           X46,           X47,           X48,           X49,           X50,           X51,           X52,           X53,           X54,           X55,           X56,           X57,           X58,
 Y21,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y20,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y19,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y18,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y17,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y16,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y15,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y14,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y13,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y12,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y11,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
 Y10,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y9,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y8,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y7,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y6,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y5,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       0,       1,       1,       1,       1,       1,       1,       0,       1,       1,       1,       1,       1,       1,
  Y4,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y3,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,
  Y2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,
  Y1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,       1,

CycleRxDiff,
 Y\X,      X1,      X2,      X3,      X4,      X5,      X6,      X7,      X8,      X9,     X10,     X11,     X12,     X13,     X14,     X15,     X16,     X17,     X18,     X19,     X20,     X21,     X22,     X23,     X24,     X25,     X26,     X27,     X28,     X29,     X30,     X31,     X32,     X33,     X34,     X35,     X36,     X37,     X38,     X39,     X40,     X41,     X42,     X43,     X44,     X45,     X46,     X47,     X48,     X49,     X50,     X51,     X52,     X53,     X54,     X55,     X56,     X57,     X58,
 Y48,     0.0,    38.9,     5.3,     0.0,     0.0,     0.0,     0.0,     0.0,    -5.6,    10.0,     0.0,     4.8,     0.0,     4.5,     0.0,     4.3,    -4.5,     0.0,     4.3,     0.0,     0.0,     4.2,     4.0,    -4.2,     4.0,     0.0,    -4.2,     7.7,     0.0,     0.0,    -4.0,     3.8,     0.0,     0.0,     0.0,     0.0,     3.7,     0.0,     0.0,     0.0,     6.9,     0.0,     3.3,     3.2,     3.1,    -3.2,    -6.9,    -3.6,     3.4,     6.5,     0.0,   -19.2,     7.1,     3.4,   -11.5,     3.7,    -3.8,   -52.9,
 Y47,     0.0,    31.8,     4.3,     8.0,     0.0,     0.0,     3.8,     0.0,     0.0,    10.3,     0.0,     6.5,     3.1,     3.0,     2.9,     0.0,     0.0,     0.0,     2.9,     0.0,     0.0,     5.4,     2.6,    -2.7,     2.6,     0.0,     0.0,     7.3,     2.4,     0.0,    -7.7,     0.0,     0.0,     2.5,     2.4,     0.0,     2.4,     0.0,     2.3,     0.0,     2.3,     4.3,     4.2,     2.0,     3.9,    -4.1,     0.0,     2.0,     2.0,     3.8,     0.0,   -29.3,     4.7,    10.4,    -4.3,   -17.9,    17.0,   -27.0,
 Y46,     0.0,    30.4,     4.2,     0.0,     4.0,    -4.2,     4.0,     0.0,     3.8,    10.3,     0.0,     6.5,     0.0,     3.1,     3.0,     0.0,     0.0,     0.0,     5.7,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     5.0,     2.4,     2.4,    -7.7,     0.0,     2.5,     0.0,     0.0,     2.4,     0.0,     2.4,     2.3,    -2.4,     4.5,     2.2,     4.3,     4.1,     2.0,    -2.0,     0.0,     2.0,     2.0,     3.8,     0.0,   -26.2,     2.3,    12.2,    -4.3,    -4.4,    10.0,   -35.1,
 Y45,     0.0,    30.4,     4.2,     0.0,     4.0,     0.0,     0.0,     0.0,     7.4,     6.9,     0.0,     6.5,     3.1,     0.0,     3.0,     0.0,     0.0,     0.0,     5.7,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     0.0,    -5.1,     0.0,     0.0,     2.5,     2.4,    -2.5,     0.0,     4.8,     2.3,    -2.4,     4.5,     4.3,     2.1,     2.1,     4.0,    -4.2,     0.0,     4.0,     2.0,     3.8,     0.0,   -26.2,     0.0,    14.3,    -4.3,     0.0,     2.1,   -33.3,
 Y44,     0.0,    29.2,     0.0,     0.0,     4.0,     0.0,     0.0,     3.8,     3.7,     6.9,     3.3,     3.2,     3.1,     0.0,     3.0,     0.0,     0.0,     0.0,     5.7,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     0.0,    -5.1,     0.0,     0.0,     4.9,    -2.5,     0.0,     0.0,     4.8,     2.3,    -2.4,     4.5,     2.2,     4.3,     4.1,     0.0,    -4.3,     4.1,     2.0,     2.0,     3.8,    -1.9,   -26.8,     2.4,    14.3,     0.0,     3.9,     1.9,   -23.8,
 Y43,     0.0,    31.8,    -4.8,     8.7,     8.0,     3.8,    -4.0,     7.4,     0.0,     6.9,     3.3,     3.2,     3.1,     0.0,     0.0,     0.0,     3.0,    -3.1,     3.0,     2.9,     0.0,     2.9,     5.4,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     0.0,    -5.1,     0.0,     0.0,     2.5,     0.0,     0.0,     2.4,     2.4,     2.3,    -2.4,     4.5,     2.2,     4.3,     2.1,     4.0,    -4.2,     0.0,     4.0,     2.0,     3.8,    -8.2,   -25.6,     7.1,    14.3,    -2.1,     5.9,     1.9,   -20.9,
 Y42,     0.0,    20.0,    -5.3,    -5.6,    28.0,     0.0,     0.0,     3.8,     3.7,     6.9,     3.3,     0.0,     3.2,     3.1,     3.0,     0.0,     2.9,    -3.0,     5.7,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     2.4,    -7.7,     0.0,     2.5,     2.4,     0.0,    -2.5,     2.4,     2.4,     2.3,    -2.4,     4.5,     2.2,     4.3,     4.1,     2.0,    -4.2,     2.0,     0.0,     3.9,     5.6,   -17.4,   -15.0,    11.1,     8.2,    -2.1,     5.9,     1.9,   -20.9,
 Y41,     0.0,    15.0,   -11.1,     0.0,    10.0,    13.0,    -9.5,    22.2,     0.0,     6.9,     3.3,     3.2,     3.1,     0.0,     3.0,     0.0,     2.9,    -3.0,     2.9,     2.9,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     2.4,    -7.7,     0.0,     2.5,     0.0,     2.4,    -2.5,     2.4,     2.4,     0.0,     0.0,     4.5,     2.2,     6.3,     2.0,     3.9,    -4.1,    -2.1,     4.0,     2.0,     3.8,   -17.8,    -9.8,    12.8,     4.1,     0.0,     3.9,     1.9,   -20.9,
 Y40,     0.0,    29.2,   -14.3,   -10.5,     5.0,     0.0,     4.8,    19.2,     3.7,    10.0,     0.0,     3.2,     3.1,     0.0,     3.0,     0.0,     2.9,    -3.0,     5.7,     0.0,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     0.0,    -5.1,     0.0,     0.0,     2.5,     2.4,    -2.5,     2.4,     2.4,     0.0,     0.0,     4.5,     2.2,     6.3,     2.0,     2.0,    -2.0,     0.0,     0.0,     3.9,     1.9,   -23.8,     0.0,     8.7,     6.1,     0.0,     3.9,     0.0,   -18.6,
 Y39,     0.0,    29.2,     0.0,     0.0,    -4.3,     0.0,    -9.5,     0.0,    12.5,    17.2,     3.3,     3.2,     3.1,     0.0,     3.0,     0.0,     0.0,     0.0,     2.9,     0.0,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     0.0,     2.4,    -7.7,     0.0,     2.5,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,    -2.4,     4.5,     4.3,     4.2,     2.0,     3.9,    -4.1,    -2.1,     2.0,     3.9,     1.9,   -30.0,     9.1,     6.4,     4.1,     0.0,     3.9,     3.8,   -26.2,
 Y38,     0.0,    25.0,     4.0,     3.8,     3.7,     3.6,    -3.7,     0.0,     0.0,     6.9,     3.3,     3.2,     3.1,     3.0,     2.9,    -3.0,     2.9,     0.0,     0.0,     0.0,     2.9,     2.8,     0.0,     0.0,     5.3,     0.0,     0.0,     9.5,     2.3,    -2.4,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     0.0,     6.3,     4.0,     2.0,    -2.0,    -2.0,     0.0,     5.8,     1.9,   -35.9,    15.2,     8.0,    -2.0,     0.0,     5.8,     1.9,   -23.3,
 Y37,     0.0,    25.0,     4.0,     3.8,     3.7,     0.0,     0.0,     3.6,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     0.0,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     2.3,     4.3,     4.2,     2.0,     3.9,    -2.0,    -2.0,     0.0,     5.8,     0.0,   -30.0,    14.9,     6.0,    -2.0,     0.0,     3.9,     3.8,   -20.5,
 Y36,     0.0,    25.0,     4.0,     7.4,    -3.8,     7.1,    -3.7,     3.6,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,    -3.0,     2.9,     0.0,     0.0,     0.0,     2.9,     2.8,     2.7,     0.0,     0.0,     2.6,     0.0,     7.3,     2.4,     0.0,    -5.0,     0.0,     0.0,     0.0,     2.4,     0.0,     2.4,     0.0,     2.3,    -2.4,     4.5,     2.2,     6.3,     2.0,     3.9,    -4.1,     0.0,     0.0,     5.8,    -4.0,   -22.0,    14.6,     4.0,    -2.0,     0.0,     3.9,     1.9,   -20.9,
 Y35,     0.0,    28.0,     3.8,     7.1,    -3.7,     0.0,     0.0,     3.6,     0.0,     6.7,     3.2,     0.0,     3.1,     3.0,     2.9,    -3.0,     2.9,     0.0,     0.0,     0.0,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     2.2,     4.2,     2.0,     3.9,    -4.1,     0.0,     0.0,     3.9,    -2.0,   -11.1,     8.2,     2.0,    -2.0,     0.0,     5.8,     1.9,   -23.3,
 Y34,     0.0,    26.9,     3.7,     3.6,    -3.7,     0.0,     3.6,     0.0,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,    -3.0,     2.9,     0.0,     0.0,     0.0,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,    -2.4,     4.5,     4.3,     4.2,     2.0,     3.9,    -4.1,     0.0,     0.0,     2.0,    -2.0,     2.0,     0.0,     2.0,    -4.1,     0.0,     3.9,     1.9,   -20.9,
 Y33,     0.0,    29.6,     0.0,     3.6,     0.0,     0.0,    -3.7,     3.6,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     2.9,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     2.2,     4.2,     2.0,     3.9,    -4.1,    -2.1,     2.0,     5.8,    -4.0,    -2.0,     2.0,     0.0,    -2.0,     0.0,     3.9,     3.8,   -23.3,
 Y32,     0.0,    25.9,     3.6,     0.0,     0.0,     3.4,    -3.6,     0.0,     3.4,     3.3,     3.2,     3.1,     0.0,     3.0,     2.9,    -3.0,     2.9,    -3.0,     2.9,     2.9,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     2.2,     4.2,     2.0,     3.9,    -4.1,     0.0,     0.0,     5.8,     1.9,   -12.8,     6.0,     2.0,    -4.1,     0.0,     3.9,     3.8,   -26.2,
 Y31,     0.0,    29.6,     3.6,     0.0,     3.4,     0.0,    -3.6,     0.0,     3.4,     6.5,     0.0,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     0.0,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     2.3,    -2.3,     2.3,     4.3,     4.2,     2.0,     3.9,    -4.1,    -2.1,     4.0,     3.8,     3.7,    -1.9,    -8.2,     3.9,    -4.1,     0.0,     3.9,     3.8,   -26.2,
 Y30,     0.0,    25.9,     3.6,     0.0,     3.4,     0.0,    -3.6,     0.0,     3.4,     3.3,     3.2,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     2.9,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     4.7,    -2.4,    -5.0,     0.0,     0.0,     2.4,     2.4,    -2.4,     2.4,     2.3,     0.0,    -2.4,     4.5,     4.3,     4.2,     2.0,     3.9,    -4.1,    -2.1,     4.0,     3.8,     3.7,     0.0,    -8.0,     2.0,    -2.0,    -2.0,     3.9,     3.8,   -26.2,
 Y29,     0.0,    22.2,     3.6,    -3.7,     3.6,     3.4,    -7.4,     3.6,     3.4,     6.5,     0.0,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     5.6,     2.7,     0.0,     0.0,     2.6,     0.0,     9.5,     2.3,    -2.4,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     2.3,     4.3,     4.2,     2.0,     5.8,    -6.1,     0.0,     2.0,     3.8,     3.7,     0.0,    -8.0,     0.0,    -2.0,    -4.3,     7.8,     3.8,   -26.2,
 Y28,     0.0,    21.4,     0.0,     0.0,     3.4,     0.0,    -3.6,     0.0,     3.4,     6.5,     0.0,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     2.9,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     2.3,    -7.5,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     2.2,     4.2,     2.0,     3.9,    -4.1,     0.0,     2.0,     3.8,     3.7,     0.0,   -10.2,     2.0,    -2.0,   -19.5,    19.6,     3.8,   -23.3,
 Y27,     0.0,    21.4,     3.4,    -3.6,     3.4,    -3.6,    -3.7,     3.6,     3.4,     6.5,     0.0,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     2.9,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     4.8,    -2.4,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     0.0,     6.3,     4.0,     2.0,    -4.1,    -2.1,     4.0,     2.0,     5.6,    -1.9,    -8.2,     3.9,    -6.2,   -17.1,    19.6,     3.8,   -23.3,
 Y26,     0.0,    17.9,     3.4,     0.0,     0.0,    -3.6,   -12.0,    13.8,     0.0,     6.5,     0.0,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     2.9,    -2.9,     2.9,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     9.5,     0.0,     0.0,    -5.0,     0.0,     0.0,     2.4,     2.4,    -2.4,     2.4,     2.3,     0.0,     0.0,     4.4,    -4.7,    10.4,     2.0,     3.9,    -4.1,     0.0,     0.0,     5.8,     3.7,     0.0,   -10.2,     2.0,    -4.2,   -20.0,    21.6,     3.8,   -23.3,
 Y25,     0.0,    17.9,     3.4,     0.0,     0.0,     0.0,   -11.5,     7.1,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     2.9,     0.0,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     7.3,     2.4,     2.3,    -7.5,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     2.3,     0.0,     8.3,     2.0,     3.9,    -4.1,     0.0,     2.0,    -6.4,    -2.2,    13.2,    -8.2,     0.0,    -6.5,   -12.2,    19.6,     3.8,   -26.2,
 Y24,     0.0,    14.3,     3.4,     0.0,     0.0,     0.0,    -3.6,     3.4,     0.0,     3.3,     3.2,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     2.9,     0.0,     2.8,     2.7,     0.0,     2.6,     0.0,     0.0,     5.0,     4.8,     0.0,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     2.3,     0.0,     0.0,     4.4,     2.2,     4.2,     4.0,     2.0,    -2.0,    -2.0,     2.0,     3.8,    -4.0,     2.0,    -6.2,    -2.1,   -11.9,     8.7,    11.5,     1.9,   -23.3,
 Y23,     0.0,    13.8,     0.0,     0.0,    -3.6,     3.4,     0.0,     0.0,    -3.6,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     5.6,     2.7,    -2.8,     2.7,     2.6,     0.0,     0.0,     9.5,     0.0,    -5.0,     0.0,     0.0,     2.4,     2.4,    -2.4,     2.4,     0.0,     0.0,     0.0,     6.7,     0.0,     6.3,     4.0,     2.0,    -4.1,     0.0,     2.0,     2.0,     5.6,    -3.8,   -15.6,     4.3,    -9.3,    12.2,     5.8,     0.0,   -23.8,
 Y22,     0.0,     3.4,     0.0,     0.0,    -3.6,     3.4,    -3.6,     0.0,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,    -3.0,     2.9,     0.0,     2.9,     0.0,     0.0,     5.4,     2.6,    -2.7,     2.6,     0.0,    -5.6,    -9.1,    19.5,     2.4,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     0.0,     2.3,    -2.4,     4.5,     4.3,     4.2,     2.0,     2.0,    -4.2,     2.0,     2.0,     2.0,     5.6,    -1.9,   -10.4,     4.0,   -13.6,    10.2,     3.9,     1.9,   -23.8,
 Y21,     0.0,    10.7,     3.4,     0.0,    -3.6,     3.4,    -3.6,     0.0,     0.0,     6.7,     3.2,     3.1,     0.0,     3.0,     2.9,    -3.0,     2.9,     0.0,     2.9,     0.0,     0.0,     5.4,     2.6,    -2.7,     2.6,     0.0,    -2.7,   -12.1,    17.5,     4.8,    -5.0,     0.0,     0.0,     4.8,    -2.4,     0.0,     2.4,     0.0,     0.0,     0.0,     4.5,     2.2,     6.3,     2.0,     2.0,    -2.0,     0.0,     2.0,     3.8,     3.7,    -3.8,    -4.0,     0.0,    -8.7,     6.1,     3.9,     1.9,   -20.9,
 Y20,     0.0,    14.3,     3.4,     0.0,    -7.4,     6.9,    -3.6,     0.0,     0.0,     6.7,     0.0,     3.2,     3.1,     0.0,     5.9,    -3.0,     2.9,    -3.0,     5.7,     0.0,     0.0,     5.4,     2.6,    -2.7,     2.6,     0.0,    -5.6,    -5.9,    15.0,     4.8,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     0.0,     2.3,    -2.4,     4.5,     4.3,     4.2,     0.0,     4.0,    -4.2,     0.0,     4.0,     3.8,     3.7,    -3.8,    -6.1,     2.0,    -4.2,     2.0,     2.0,     3.8,   -18.2,
 Y19,     0.0,    17.9,     3.4,     0.0,    -3.6,     3.4,    -3.6,     0.0,     0.0,     6.7,     3.2,     0.0,     3.1,     0.0,     3.0,     0.0,     0.0,     0.0,     5.7,     0.0,     0.0,     5.4,     2.6,    -2.7,     2.6,     0.0,    -2.7,    -2.8,    10.0,     4.8,    -5.0,     0.0,     0.0,     2.4,     0.0,     0.0,     2.4,     0.0,     2.3,    -2.4,     4.5,     4.3,     4.2,     2.0,     2.0,    -2.0,     0.0,     2.0,     3.8,     3.7,    -3.8,    -4.0,     2.0,    -2.0,    -2.0,     5.8,     1.9,   -20.5,
